Hour,Occupied prop ( Chance the house is occupied),Cleaning Washing machine Prop,Cleaning Tumble dryer,Cleaning Dishwasher,Cooking Electric Oven,Cooking Microwave,Cooking Kettle,Cooking Gas Cooker,Consumer Electronics
0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.08659154068174194,0.0,0.09590613748828529
1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.05983253765902364,0.0,0.062436441065716
2.0,0.99,0.0,0.0,0.0,0.0,0.0,0.032128498838651126,0.0,0.04890274215192387
3.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0334383849202596,0.0,0.05061888348253953
4.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0438732032891283,0.0,0.045642950556346464
5.0,0.97,0.0,0.0,0.0,0.0,0.0,0.08170908638255371,0.0,0.08352925941504574
6.0,0.92,0.016966387752815722,0.016966387752815722,0.016966387752815722,0.020704775558498516,0.020704775558498516,0.23467999355324756,0.030932126397202223,0.23056182392904653
7.0,0.81,0.027938527137063584,0.027938527137063584,0.027938527137063584,0.04219468709936492,0.04219468709936492,0.38934168258159696,0.06246412225825443,0.3869104154357938
8.0,0.65,0.03475745210651244,0.03475745210651244,0.03475745210651244,0.038639643401393794,0.038639643401393794,0.4261149647914511,0.049990524651199394,0.43412654324666383
9.0,0.5700000000000001,0.053606668792487426,0.053606668792487426,0.053606668792487426,0.03394523197599722,0.03394523197599722,0.4448484947722087,0.03553985986951235,0.457585346212985
10.0,0.53,0.060934031150051665,0.060934031150051665,0.060934031150051665,0.027817121550660906,0.027817121550660906,0.4507286522326223,0.024095234338342143,0.45865393938147214
11.0,0.49,0.05806121450857937,0.05806121450857937,0.05806121450857937,0.03995625221797862,0.03995625221797862,0.44557685388795826,0.03198741681178547,0.4535325076346822
12.0,0.47,0.05421532079123973,0.05421532079123973,0.05421532079123973,0.04880982381529097,0.04880982381529097,0.44481530251312,0.041895520221959116,0.4478235745512105
13.0,0.49,0.05339120480573797,0.05339120480573797,0.05339120480573797,0.04356233251286611,0.04356233251286611,0.443120685173794,0.036174535011146945,0.4462448734840726
14.0,0.5,0.05757395915932335,0.05757395915932335,0.05757395915932335,0.034178031412524845,0.034178031412524845,0.45167511499090734,0.028528348053110206,0.454785771051439
15.0,0.53,0.05490452636976998,0.05490452636976998,0.05490452636976998,0.03916336642649539,0.03916336642649539,0.5063553673319876,0.03418215141628424,0.5141734209011156
16.0,0.5900000000000001,0.06392947598224409,0.06392947598224409,0.06392947598224409,0.07287151289442637,0.07287151289442637,0.62237471611851,0.06539600445803873,0.6299935529676404
17.0,0.6599999999999999,0.06911891006878766,0.06911891006878766,0.06911891006878766,0.10923396805824315,0.10923396805824315,0.7191037703976448,0.09744755155101859,0.7207661237750129
18.0,0.73,0.06769248208582171,0.06769248208582171,0.06769248208582171,0.09798600249879238,0.09798600249879238,0.7426371334643047,0.08838950930980996,0.7498127617972543
19.0,0.77,0.05763946969231569,0.05763946969231569,0.05763946969231569,0.07175288079696159,0.07175288079696159,0.7179970700011128,0.06755158814534577,0.7203739556427068
20.0,0.84,0.04752039992855899,0.04752039992855899,0.04752039992855899,0.042328443490100946,0.042328443490100946,0.6847921963301522,0.04107934226297242,0.687784552748611
21.0,0.89,0.029730433403930112,0.029730433403930112,0.029730433403930112,0.020677975657043636,0.020677975657043636,0.5925664463513443,0.020565866844571068,0.6002101562484494
22.0,0.9299999999999999,0.017055700596324275,0.017055700596324275,0.017055700596324275,0.0,0.0,0.39700675750510833,0.0,0.41292792187500815
23.0,0.96,0.012381951174710642,0.012381951174710642,0.012381951174710642,0.0,0.0,0.19322872255037896,0.0,0.19745384500004565
